class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
meiotic recombination(GO:0007131)	30	20	3.492633269	0.25502	1.934405348	0.70569	0.544740651	0.132662053	0.141946419	0.05336958	0.196038389	0.248821657	0.370517591
"melanin biosynthesis, from tyrosine(GO:0006583)"	9	5	2.859940037	0.36048	0.86235724	0.90051	0.399036725	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
melanin metabolism(GO:0006582)	12	6	2.624820615	0.40445	0.86235724	0.90051	0.365486513	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
melanocortin receptor(GO:0004977)	5	4	2.94501695	0.34418	4.793174124	0.30884	0.579550927	0.281506813	0.182480293	0.376626963	0.648012787	0.752941299	0.846088534
membrane alanyl aminopeptidase(GO:0004179)	7	7	2.978005227	0.33904	1.85189423	0.7195	0.528380448	0.242883739	0.29738265	0.394492294	0.375498315	0.313358572	0.223048828
membrane attack complex(GO:0005579)	7	7	2.391125535	0.45089	1.213337291	0.83881	0.485125858	0.242883739	0.341297905	0.394492294	0.375498315	0.608543448	0.746370111
membrane coat(GO:0030117)	18	17	2.633454829	0.4027	1.330623606	0.81668	0.527673942	0.204239897	0.222175787	0.157555029	0.282689202	0.374517644	0.35695436
membrane fusion(GO:0006944)	15	10	1.884672702	0.56525	1.504573084	0.78538	0.450795181	0.102219785	0.078012635	0.180464481	0.33789298	0.491798765	0.658373848
membrane lipid metabolism(GO:0006643)	65	52	2.242358292	0.48298	1.531556663	0.77809	0.473375468	0.071982939	0.0211488	0.019419315	0.061506772	0.179132142	0.275700316
membrane organization and biogenesis(GO:0016044)	8	7	2.388956106	0.45314	3.02741998	0.53197	0.542557767	0.11276898	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
membrane-associated protein with guanylate kinase activity(GO:0004384)	11	7	3.783490043	0.21549	4.031050319	0.39401	0.642900157	0.11276898	0.041724008	0.220866077	0.467959592	0.608543448	0.746370111
mesoderm determination(GO:0007500)	11	8	2.876099089	0.35693	2.201585553	0.66136	0.47675259	0.265378933	0.307303762	0.248202788	0.154305703	0.333625169	0.71580696
mesoderm development(GO:0007498)	26	16	2.290897292	0.47227	1.502430802	0.78538	0.448328611	0.189295291	0.171219079	0.270638553	0.176099753	0.321125746	0.51221098
metabolism of energy reserves(GO:0006112)	39	31	2.08353608	0.51818	1.269219339	0.82958	0.432134939	0.089522004	0.082549614	0.189893804	0.234636931	0.279204461	0.36270791
"metabotropic glutamate, GABA-B-like receptor(GO:0008067)"	14	11	1.561992594	0.64194	0.794719831	0.91354	0.338299247	0.076744891	0.193339748	0.312594921	0.382429718	0.370863671	0.631404317
metal ion homeostasis(GO:0006875)	51	39	2.688226666	0.3928	1.68251186	0.74945	0.492889893	0.113587905	0.13057101	0.164987264	0.200239184	0.252169558	0.265127022
metallocarboxypeptidase(GO:0004181)	22	20	2.227550724	0.48747	1.569383221	0.77323	0.473268999	0.162830447	0.210502778	0.242125513	0.285275738	0.356124843	0.433233142
metalloendopeptidase(GO:0004222)	86	72	2.416211723	0.4466	1.241255351	0.83426	0.424798023	0.092541991	0.058794251	0.078417775	0.155525988	0.149828027	0.169015652
metalloexopeptidase(GO:0008235)	36	34	2.505630258	0.42819	1.85189423	0.7195	0.500380263	0.144819774	0.158218181	0.187692291	0.200354259	0.272262672	0.350909713
methionine and threonine metabolism(GO:0018927)	8	7	2.053099175	0.52511	2.088955909	0.68128	0.478742623	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
methionine biosynthesis(GO:0009086)	5	4	1.963595594	0.54609	2.154110405	0.66957	0.409613532	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
methionine metabolism(GO:0006555)	8	7	2.053099175	0.52511	2.088955909	0.68128	0.478742623	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
methyltransferase(GO:0008168)	66	55	3.033391601	0.32843	1.635593481	0.75948	0.500884313	0.112953141	0.041077652	0.122985797	0.168736615	0.202008606	0.113637873
MHC class I receptor(GO:0030106)	15	10	1.748669775	0.59856	1.263740581	0.82958	0.369855422	0.102219785	0.226844391	0.337242032	0.33789298	0.491798765	0.658373848
MHC class II receptor(GO:0045012)	20	13	4.83820094	0.10962	2.967826639	0.54025	0.662806761	0.120948131	0.03733614	0.031436264	0.250107329	0.167687629	0.580725359
MHC-interacting protein(GO:0003822)	14	11	3.257520406	0.29074	1.40994435	0.80311	0.513906385	0.150373863	0.142080605	0.060893552	0.075164106	0.136219972	0.631404317
microfibril(GO:0001527)	52	36	1.751341236	0.59624	1.43577437	0.79825	0.422229608	0.002928893	0.001062399	0.002081745	0.019989087	0.077380275	0.221540964
microfilament motor(GO:0000146)	9	9	3.543133436	0.24769	3.475525985	0.47193	0.698055121	0.087906283	0.207435592	0.268955401	0.388677089	0.527990371	0.686491811
microsome(GO:0005792)	110	87	2.406699071	0.44882	1.492106365	0.78722	0.446008602	0.029346131	0.037963792	0.04793815	0.090960822	0.166268008	0.218102389
microspike(GO:0030028)	10	8	1.813507279	0.5814	1.942216021	0.70467	0.432365695	0.285579569	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
microtubule associated protein(GO:0005875)	112	89	2.95245931	0.34232	2.433050613	0.62349	0.539890306	0.037492987	0.043942126	0.108289392	0.127840777	0.145616912	0.172861529
microtubule binding(GO:0008017)	57	48	3.003180894	0.33356	2.712348284	0.57525	0.528945272	0.060516835	0.046524347	0.125115299	0.152482026	0.189265149	0.275712273
microtubule cytoskeleton organization and biogenesis(GO:0000226)	42	31	2.979162665	0.33904	2.149145549	0.67151	0.510732557	0.070599933	0.038618273	0.189893804	0.188145403	0.110480727	0.273235371
microtubule cytoskeleton(GO:0015630)	35	25	3.245631868	0.29253	2.203561665	0.66136	0.547683766	0.148435734	0.093288214	0.021978462	0.026462634	0.155239943	0.192402339
microtubule motor(GO:0003777)	37	31	2.677931434	0.39458	1.944923792	0.70467	0.500075979	0.134584226	0.169519352	0.154839715	0.234636931	0.252725916	0.273235371
microtubule nucleation(GO:0007020)	19	13	3.320608499	0.28001	2.149145549	0.67151	0.482027795	0.120948131	0.184964035	0.262300029	0.363823576	0.397418995	0.580725359
microtubule organizing center(GO:0005815)	52	40	3.327081439	0.28001	2.374385089	0.63079	0.578113664	0.096023048	0.074812061	0.120756285	0.169906344	0.230492305	0.18730409
microtubule(GO:0005874)	72	45	2.810577228	0.36814	1.50379829	0.78538	0.489902534	0.119946656	0.113590059	0.125234557	0.162038314	0.219989103	0.27574904
microtubule-based movement(GO:0007018)	39	34	2.218512002	0.48972	1.130105607	0.85409	0.427387485	0.091433141	0.098746561	0.167429782	0.200354259	0.213572587	0.350909713
mismatch repair(GO:0006298)	29	18	3.292590328	0.28431	1.408550267	0.80311	0.518592217	0.154761672	0.113134294	0.170742741	0.285352303	0.230861473	0.362501824
mitochondrial electron transport chain complex (sensu Eukarya)(GO:0005746)	11	11	2.124979334	0.50932	1.723092641	0.74124	0.492720919	0.248920484	0.280945411	0.312594921	0.303126642	0.458083885	0.631404317
mitochondrial inner membrane translocase complex(GO:0005744)	7	4	2.642537996	0.40075	2.970157817	0.53927	0.51956417	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
mitochondrial inner membrane(GO:0005743)	94	76	2.781639785	0.37335	1.658886121	0.75419	0.511093285	0.074450596	0.109701782	0.123721538	0.097993859	0.115902986	0.229134372
mitochondrial large ribosomal subunit(GO:0005762)	6	6	1.945250054	0.55071	2.088955909	0.68128	0.488619942	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
mitochondrial matrix(GO:0005759)	31	25	2.637038713	0.4027	2.185884978	0.66531	0.507775498	0.16918803	0.187405896	0.144822658	0.19015797	0.312140462	0.351368035
mitochondrial membrane(GO:0005740)	15	12	2.116776695	0.51158	1.512392218	0.78216	0.42391741	0.146202762	0.261249781	0.287348042	0.374315198	0.376888393	0.605536445
mitochondrial outer membrane(GO:0005741)	33	24	3.209679978	0.29891	2.492902107	0.61354	0.567468219	0.139098893	0.132772714	0.212509612	0.268528804	0.321707701	0.376223192
mitochondrial translocation(GO:0006628)	12	7	2.927319931	0.348	1.504418201	0.78538	0.509144715	0.313701777	0.29738265	0.394492294	0.467959592	0.608543448	0.746370111
mitochondrial transport(GO:0006839)	18	13	2.475244778	0.43412	1.68297562	0.74945	0.492949259	0.201103679	0.137159855	0.107924166	0.24394728	0.397418995	0.580725359
mitochondrion inheritance(GO:0000001)	10	4	2.130850427	0.5071	1.801857224	0.72797	0.449103058	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
mitochondrion organization and biogenesis(GO:0007005)	23	14	2.241184377	0.48298	1.503901008	0.78538	0.472379116	0.093913563	0.114437004	0.090923215	0.218838087	0.370164396	0.556928008
mitosis(GO:0007067)	110	74	3.328736766	0.28001	2.288132058	0.64409	0.595999107	0.037638294	0.023326296	0.046017512	0.060814215	0.067392795	0.223668906
mitotic checkpoint(GO:0007093)	12	8	3.874156117	0.20389	3.334576622	0.4916	0.670290291	0.154043812	0.178412876	0.248202788	0.154305703	0.333625169	0.71580696
mitotic chromosome segregation(GO:0000070)	12	9	3.704999827	0.22573	2.102252532	0.67886	0.588014831	0.271820014	0.207435592	0.117045762	0.178032787	0.102715723	0.686491811
mitotic chromosome(GO:0005708)	15	11	4.318503211	0.15543	1.883804168	0.71304	0.527588209	0.248920484	0.280945411	0.291856568	0.219022794	0.136219972	0.296664842
mitotic recombination(GO:0006312)	7	4	3.56345563	0.24474	1.843839283	0.72124	0.542830484	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
mitotic spindle checkpoint(GO:0007094)	7	4	4.049774767	0.18384	4.669586227	0.32173	0.656693956	0.281506813	0.182480293	0.376626963	0.297009483	0.752941299	0.846088534
mitotic spindle orientation(GO:0000132)	10	4	2.130850427	0.5071	1.801857224	0.72797	0.449103058	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
modulation of synapse(GO:0007273)	10	7	2.525333934	0.42438	0.913067421	0.8922	0.442232584	0.313701777	0.341297905	0.394492294	0.375498315	0.313358572	0.223048828
monocarboxylate channel(GO:0015256)	30	16	2.014557967	0.53413	0.913067421	0.8922	0.388835303	0.125249343	0.171219079	0.064529394	0.176099753	0.321125746	0.51221098
monocarboxylate porter(GO:0015355)	7	4	3.11575208	0.31413	1.581786571	0.76875	0.523507103	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
monocarboxylic acid transport(GO:0015718)	14	10	2.644990425	0.40075	1.581786571	0.76875	0.494385542	0.265144619	0.226844391	0.180464481	0.33789298	0.491798765	0.658373848
monocarboxylic acid transporter(GO:0008028)	14	11	2.391474471	0.45089	1.340291874	0.81522	0.4659488	0.248920484	0.193339748	0.312594921	0.303126642	0.458083885	0.631404317
monooxygenase(GO:0004497)	78	58	1.977426707	0.54377	1.467048259	0.79252	0.423890969	0.021873877	0.00351114	0.009664783	0.085709785	0.145710975	0.087906396
monosaccharide metabolism(GO:0005996)	80	64	2.339328134	0.46351	1.766420143	0.73585	0.450078068	0.025688822	0.052785268	0.114347816	0.145711923	0.115920323	0.253769622
monosaccharide transport(GO:0015749)	8	7	2.127600358	0.50932	2.013342003	0.69443	0.477331773	0.242883739	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
monosaccharide transporter(GO:0015145)	8	7	2.844541121	0.36234	2.013342003	0.69443	0.514856936	0.242883739	0.29738265	0.394492294	0.375498315	0.313358572	0.223048828
monoubiquitination(GO:0006513)	7	6	2.031430333	0.52963	1.946092193	0.70467	0.42820729	0.282459155	0.377507532	0.401240846	0.35870215	0.653308958	0.778234229
monovalent cation:proton antiporter(GO:0005451)	5	5	4.423319863	0.14511	3.784362437	0.42656	0.735340157	0.034527854	0.235734836	0.148048042	0.333134433	0.257900072	0.811454522
monovalent inorganic cation homeostasis(GO:0030004)	10	9	4.386373651	0.14909	4.060480747	0.39037	0.707799596	0.005402971	0.026173747	0.117045762	0.178032787	0.102715723	0.26383634
monovalent inorganic cation transporter(GO:0015077)	105	90	2.562135887	0.41635	1.817325762	0.72593	0.504539065	0.086333765	0.088888695	0.112732287	0.133068898	0.166743678	0.169521609
morphogenesis(GO:0009653)	26	19	2.005244147	0.53654	1.084749344	0.86436	0.411403615	0.068900995	0.186960742	0.244216865	0.277282666	0.363200767	0.451759022
motor(GO:0003774)	107	85	2.858898519	0.36048	2.433050613	0.62349	0.546842124	0.058228119	0.059825964	0.082416767	0.12703291	0.14240218	0.10325155
M-phase specific microtubule process(GO:0000072)	6	5	2.283718295	0.47426	2.231826776	0.65297	0.475424443	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
mRNA binding(GO:0003729)	122	93	3.734078759	0.22185	2.52537441	0.60847	0.627336979	0.001127309	0.004935618	0.007643119	2.47E-04	0.082353421	0.094514758
"mRNA binding, 3' UTR(GO:0003730)"	9	8	3.176334178	0.30405	3.434452042	0.47714	0.529902433	0.154043812	0.307303762	0.379933254	0.385053587	0.333625169	0.244505203
mRNA cap binding(GO:0003731)	6	4	2.869197887	0.35862	2.692944898	0.57993	0.541777029	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
mRNA catabolism(GO:0006402)	10	9	4.30603352	0.15643	4.241088108	0.36904	0.70600597	0.027188789	0.005055568	0.268955401	0.178032787	0.102715723	0.26383634
mRNA cleavage and polyadenylation specificity factor complex(GO:0005847)	5	5	4.718866878	0.11933	2.503419034	0.61224	0.558868152	0.320392215	0.235734836	0.148048042	0.076254843	0.037861784	0.014736952
mRNA cleavage factor complex(GO:0005849)	4	4	3.082141434	0.31931	3.37219495	0.4856	0.551197929	0.281506813	0.419050518	0.376626963	0.297009483	0.752941299	0.846088534
mRNA cleavage stimulating factor complex(GO:0005848)	4	4	5.362848095	0.07551	8.847711656	0.05273	0.706447147	0.281506813	0.182480293	0.105386691	0.050982511	0.024381443	0.009217254
mRNA cleavage(GO:0006379)	7	7	3.450470678	0.2607	2.503419034	0.61224	0.617453244	0.313701777	0.29738265	0.220866077	0.12896258	0.313358572	0.223048828
mRNA metabolism(GO:0016071)	38	30	3.881214812	0.20272	3.278892902	0.49949	0.63689211	0.016693108	0.014725507	0.094674472	0.051701478	0.095255517	0.08996601
mRNA polyadenylation(GO:0006378)	12	10	3.58583715	0.24205	2.503419034	0.61224	0.587879518	0.265144619	0.229686715	0.140941572	0.199699769	0.119624654	0.05387334
mRNA splice site selection(GO:0006376)	11	9	3.2149344	0.29738	1.605320724	0.76548	0.559771915	0.271820014	0.207435592	0.268955401	0.388677089	0.349649384	0.26383634
mRNA splicing(GO:0006371)	108	86	3.865697686	0.20501	2.866017444	0.55467	0.64883834	7.25E-04	7.46E-04	0.001541825	2.71E-05	0.018285539	0.03770005
mRNA-nucleus export(GO:0006406)	10	7	1.929359881	0.55555	0.578814865	0.94953	0.267201184	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
mu DNA polymerase(GO:0016448)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
muscle contraction regulation(GO:0006937)	26	20	2.737784275	0.38292	2.021290523	0.69268	0.54424608	0.109405573	0.170423749	0.242125513	0.285275738	0.356124843	0.370517591
muscle contraction(GO:0006936)	123	90	2.745002489	0.38082	1.801857224	0.72797	0.495900243	0.086333765	0.097947907	0.059868517	0.133068898	0.166743678	0.213212006
muscle development(GO:0007517)	122	91	2.524608175	0.42438	1.500768066	0.78538	0.454949601	0.006970683	0.026943543	0.078147549	0.138475834	0.157483223	0.147466391
muscle motor(GO:0003776)	8	8	3.478589677	0.25779	3.475525985	0.47193	0.687876415	0.154043812	0.307303762	0.248202788	0.385053587	0.566840302	0.71580696
muscle myosin(GO:0005859)	23	20	2.405470796	0.44882	1.603973359	0.76548	0.448986731	0.162830447	0.210502778	0.242125513	0.285275738	0.356124843	0.370517591
muscle thin filament tropomyosin(GO:0005862)	9	5	2.058608566	0.52511	1.789154653	0.73278	0.502083082	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
myeloperoxidase(GO:0016687)	4	4	2.481433198	0.43232	3.775521325	0.42782	0.477726944	0.281506813	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
myogenesis(GO:0007519)	9	7	2.385950451	0.45314	0.726075531	0.92537	0.416235096	0.224968422	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
myosin ATPase(GO:0008570)	33	22	2.494575747	0.4302	1.788401624	0.73278	0.496983591	0.128870838	0.138196657	0.186457443	0.231804335	0.339892543	0.398423208
myosin phosphatase(GO:0017018)	45	31	2.171561532	0.49822	1.339862433	0.81668	0.437936637	0.053849358	0.082549614	0.1451248	0.122835829	0.110480727	0.273235371
"myosin phosphatase, regulator(GO:0017020)"	26	15	3.088533053	0.31931	1.6429098	0.75696	0.547912397	0.164560617	0.243495759	0.281019806	0.27108304	0.380828486	0.342373775
myosin(GO:0016459)	78	55	2.760624362	0.37712	1.830904815	0.72344	0.490074335	0.115159497	0.101560015	0.131077858	0.168736615	0.202008606	0.272373197
mystery cell fate differentiation(GO:0008583)	4	4	3.348382143	0.27719	3.980231718	0.40012	0.687755839	0.281506813	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
N-acetyllactosamine synthase(GO:0003945)	5	4	2.068148338	0.52301	2.905686126	0.54816	0.479683361	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
N-acetyltransferase(GO:0008080)	10	9	2.218633982	0.48972	2.262574364	0.64824	0.525626096	0.13478182	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
N-acyltransferase(GO:0016410)	14	12	2.508537822	0.42819	2.443873907	0.62146	0.557383305	0.146202762	0.163416128	0.287348042	0.271933709	0.426676519	0.605536445
NAD+ ADP-ribosyltransferase(GO:0003950)	14	7	3.422115275	0.26508	1.043029577	0.87239	0.499062301	0.313701777	0.29738265	0.220866077	0.12896258	0.069023139	0.223048828
NADH dehydrogenase (ubiquinone) (sensu Eukarya)(GO:0005748)	20	19	2.999742838	0.33535	2.514649159	0.61073	0.570294993	0.11653552	0.189310095	0.182288948	0.185692357	0.363200767	0.366997395
NADH dehydrogenase (ubiquinone)(GO:0008137)	28	25	2.755234863	0.37892	1.865249314	0.71713	0.51985516	0.148435734	0.181442141	0.213204518	0.230093472	0.312140462	0.37586563
NADH dehydrogenase (ubiquinone)(GO:0045279)	20	19	2.999742838	0.33535	2.514649159	0.61073	0.570294993	0.11653552	0.189310095	0.182288948	0.185692357	0.363200767	0.366997395
NADH dehydrogenase(GO:0003954)	21	20	3.055887129	0.32485	2.599310077	0.59977	0.580995175	0.082085085	0.141946419	0.192050894	0.196038389	0.356124843	0.370517591
natural killer cell activation(GO:0030101)	8	6	0.53965494	0.92039	0.223744233	0.99235	0.150228805	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
negative regulation of homeotic gene (Polycomb group)(GO:0006340)	4	4	4.864082691	0.10727	5.978810701	0.19718	0.651125692	0.087136606	0.182480293	0.105386691	0.297009483	0.221464771	0.144430828
neprilysin(GO:0004245)	5	5	6.750910366	0.02641	2.20858166	0.66136	0.677904877	0.320392215	0.235734836	0.148048042	0.076254843	0.037861784	0.014736952
nerve ensheathment(GO:0008366)	7	5	1.067115785	0.77577	0.700196445	0.92855	0.269139073	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
nerve-nerve synaptic transmission(GO:0007270)	6	6	4.084279379	0.1795	5.2915791	0.25417	0.59035806	0.203230125	0.106045195	0.046526838	0.102647925	0.052915319	0.199321761
neurofilament(GO:0005883)	6	6	4.742204111	0.11683	5.049148541	0.28198	0.720576429	0.203230125	0.106045195	0.046526838	0.102647925	0.052915319	0.199321761
neuronal cell recognition(GO:0008038)	4	4	0.699397133	0.87846	1.143522457	0.85214	0.239254756	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
neuropeptide hormone(GO:0005184)	13	13	2.059682551	0.52511	0.715143077	0.92691	0.386831199	0.201103679	0.239245702	0.293962103	0.250107329	0.38034782	0.322544117
neuropeptide receptor(GO:0008188)	13	13	1.687383387	0.61234	0.851378839	0.90194	0.416823504	0.201103679	0.239245702	0.107924166	0.24394728	0.397418995	0.580725359
neuropeptide signaling pathway(GO:0007218)	74	60	2.282066119	0.47426	1.175458953	0.84595	0.421955556	0.061435864	0.096591655	0.131187319	0.161170796	0.202603975	0.217514805
neuropeptide Y receptor(GO:0004983)	8	8	1.865486696	0.57008	1.650062303	0.75419	0.46181643	0.285579569	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
neurotoxin(GO:0019847)	4	4	1.991634032	0.53897	0.651936695	0.93742	0.335992054	0.40397385	0.419050518	0.376626963	0.297009483	0.752941299	0.846088534
neurotransmitter binding(GO:0042165)	40	38	2.454151362	0.43853	1.447483874	0.7958	0.486714853	0.053403378	0.064129896	0.170703521	0.20670535	0.145727691	0.262246343
neurotransmitter catabolism(GO:0042135)	10	7	1.818787467	0.5814	1.544865707	0.77668	0.393489444	0.224968422	0.341297905	0.394492294	0.467959592	0.608543448	0.746370111
neurotransmitter maintenance(GO:0001505)	41	34	2.092742444	0.51597	1.50812726	0.78538	0.422948711	0.091433141	0.056543784	0.057861705	0.097219949	0.223951445	0.240931695
neurotransmitter metabolism(GO:0042133)	14	11	2.320700254	0.46568	1.764792342	0.73585	0.462465357	0.178484366	0.280945411	0.291856568	0.382429718	0.370863671	0.631404317
neurotransmitter receptor(GO:0030594)	40	38	2.454151362	0.43853	1.447483874	0.7958	0.486714853	0.053403378	0.064129896	0.170703521	0.20670535	0.145727691	0.262246343
neurotransmitter release(GO:0007269)	20	18	1.901401026	0.56024	1.128673293	0.85604	0.40194699	0.193075841	0.131038978	0.045793224	0.141700226	0.278573745	0.471074674
neurotransmitter synthesis and storage(GO:0001506)	4	4	3.199047631	0.30055	2.481508433	0.61545	0.583192873	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
neurotransmitter transport(GO:0006836)	23	21	3.133060015	0.3107	1.951632009	0.70265	0.562891727	0.054624703	0.154041829	0.12678139	0.282899497	0.256203687	0.373134455
neurotransmitter transporter(GO:0005326)	13	12	3.977656851	0.19155	3.820296003	0.42138	0.614475376	0.037914029	0.076671139	0.022945694	0.235844716	0.152295866	0.310414461
neurotransmitter uptake(GO:0001504)	6	4	2.158060403	0.50275	0.989426571	0.88091	0.302793162	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
neurotransmitter:sodium symporter(GO:0005328)	12	11	4.172223506	0.16953	3.820296003	0.42138	0.622397003	0.02312232	0.057689054	0.015875663	0.219022794	0.136219972	0.296664842
neurotrophin TRK receptor(GO:0005013)	9	4	1.716213539	0.60545	1.079474407	0.86658	0.370063809	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
neutral amino acid transporter(GO:0015175)	8	8	2.048927774	0.52727	0.861495205	0.90051	0.414373043	0.265378933	0.307303762	0.248202788	0.419827894	0.566840302	0.71580696
NGF/TNF (6 C-domain) receptor(GO:0005027)	10	6	2.758927253	0.37892	2.113585424	0.67692	0.525349229	0.282459155	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
N-glycan processing(GO:0006491)	5	4	1.653999799	0.62012	1.451617953	0.79433	0.29409463	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
nickel binding(GO:0016151)	8	6	3.402262291	0.26805	3.77993639	0.42782	0.554371387	0.203230125	0.274068357	0.401240846	0.35870215	0.288313959	0.199321761
nicotinic acetylcholine-activated cation-selective channel(GO:0004889)	13	13	3.655105566	0.23206	1.273679572	0.82741	0.571133218	0.195385706	0.096588495	0.031436264	0.029977998	0.008252479	0.082429292
nicotinic acetylcholine-gated receptor-channel(GO:0005892)	12	12	3.139811696	0.3107	1.273679572	0.82741	0.536725717	0.23692287	0.165201445	0.076999269	0.089942123	0.037227003	0.310414461
NIK-I-kappaB/NF-kappaB cascade(GO:0007249)	13	6	3.185497546	0.30246	2.253967848	0.64997	0.586745344	0.328165729	0.274068357	0.401240846	0.35870215	0.288313959	0.199321761
nitric oxide biosynthesis(GO:0006809)	7	7	2.219230931	0.48972	1.297109562	0.82419	0.450714888	0.313701777	0.341297905	0.394492294	0.375498315	0.313358572	0.746370111
nitric oxide synthase(GO:0004517)	4	4	1.327170287	0.70446	1.625922855	0.76234	0.354924151	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
nitrogen metabolism(GO:0006807)	16	14	2.706556188	0.38871	1.50812726	0.78538	0.503159871	0.207555284	0.2513661	0.289013723	0.261828441	0.182266233	0.333162915
N-linked glycosylation(GO:0006487)	26	24	2.739305271	0.38292	2.255322191	0.64997	0.524217556	0.139098893	0.19347083	0.216762287	0.225658099	0.27223665	0.36640266
NLS-bearing substrate-nucleus import(GO:0006607)	15	13	3.325504689	0.28001	2.516889333	0.61073	0.55745821	0.120948131	0.184964035	0.293962103	0.250107329	0.38034782	0.322544117
N-methyl-D-aspartate selective glutamate receptor(GO:0004972)	11	7	2.408555721	0.44882	2.218465777	0.65848	0.500662411	0.313701777	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
N-methyltransferase(GO:0008170)	18	15	3.582927527	0.24205	2.611792193	0.59621	0.569033554	0.164560617	0.065461503	0.227316121	0.27108304	0.380828486	0.342373775
NO mediated signal transduction(GO:0007263)	4	4	1.944134416	0.55071	1.530407706	0.77809	0.494762822	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
non-covalent chromatin modification(GO:0016582)	36	26	3.25690252	0.29074	2.119456291	0.67692	0.526306504	0.08259651	0.104465535	0.174361923	0.233388715	0.278194951	0.199932388
non-G-protein coupled 7TM receptor(GO:0004926)	13	10	3.329073598	0.28001	2.219433562	0.65848	0.61046988	0.215546951	0.229686715	0.283341161	0.199699769	0.119624654	0.281179636
non-membrane spanning protein tyrosine kinase(GO:0004715)	24	12	1.430148477	0.67555	0.84045386	0.90396	0.314362899	0.010229524	0.046818284	0.128101091	0.271933709	0.426676519	0.605536445
non-membrane spanning protein tyrosine phosphatase(GO:0004726)	8	6	1.710648857	0.60545	1.374885188	0.80956	0.422186095	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
non-muscle myosin(GO:0005860)	24	19	1.901669651	0.56024	1.120217366	0.85604	0.421655695	0.178890534	0.043324896	0.1371422	0.127106402	0.259457915	0.451759022
non-selective vesicle docking(GO:0006904)	13	9	2.172547772	0.49822	1.26229025	0.82958	0.511665261	0.189372578	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
non-selective vesicle targeting(GO:0006903)	8	5	2.211761602	0.48972	1.69115184	0.74765	0.48320289	0.320392215	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
non-selective vesicle transport(GO:0006899)	85	65	2.576287335	0.41433	1.900562293	0.70933	0.481847273	0.085866981	0.048311329	0.080960608	0.023398343	0.047048255	0.183019697
nu DNA polymerase(GO:0016451)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
nuclear body(GO:0016604)	6	5	3.207577529	0.29891	3.504536146	0.46667	0.62410596	0.034527854	0.235734836	0.424930531	0.5813859	0.701361285	0.811454522
nuclear chromosome(GO:0000228)	22	18	4.118588948	0.17601	3.139853125	0.51827	0.623881117	0.050911558	0.113134294	0.089118429	0.174256265	0.230861473	0.131323737
