GO:0000001	mitochondrion inheritance
GO:0042246	tissue regeneration
GO:0042247	establishment of polarity of follicular epithelium
GO:0042248	maintenance of polarity of follicular epithelium
GO:0042249	establishment of polarity of embryonic epithelium
GO:0042250	maintenance of polarity of embryonic epithelium
GO:0042251	maintenance of polarity of larval imaginal disc epithelium
GO:0042252	establishment of polarity of larval imaginal disc epithelium
GO:0042253	granulocyte macrophage colony-stimulating factor biosynthesis
GO:0042254	ribosome biogenesis and assembly
GO:0042255	ribosome assembly
GO:0042256	mature ribosome assembly
GO:0042257	ribosomal subunit assembly
GO:0042258	molybdenum incorporation via L-serinyl molybdopterin guanine dinucleotide
GO:0042259	peptidyl-L-beta-methylthioasparagine biosynthesis
GO:0004226	gly-X carboxypeptidase
GO:0042262	DNA protection
GO:0042263	neuropeptide F receptor
GO:0042264	peptidyl-aspartic acid hydroxylation
GO:0042265	peptidyl-asparagine hydroxylation
GO:0042267	NK-cell mediated cytolysis
GO:0042268	regulation of cytolysis
GO:0042269	regulation of NK-cell mediated cytolysis
GO:0042270	protection from NK-cell mediated cytolysis
GO:0042271	susceptibility to NK-cell mediated cytolysis
GO:0042272	nuclear RNA export factor
GO:0042273	ribosomal large subunit biogenesis
GO:0042274	ribosomal small subunit biogenesis
GO:0042275	error-free post-replication DNA repair
GO:0042276	error-prone post-replication DNA repair
GO:0042277	peptide binding
GO:0042278	purine nucleoside metabolism
GO:0042279	nitrite reductase (cytochrome, ammonia-forming)
GO:0004228	gelatinase A
GO:0042280	cell surface antigen, host-interacting
GO:0042281	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase
GO:0042282	hydroxymethylglutaryl-CoA reductase
GO:0042283	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
GO:0042284	sphingolipid delta-4 desaturase
GO:0042285	xylosyltransferase
GO:0042286	glutamate-1-semialdehyde 2,1-aminomutase
GO:0042287	major histocompatibility complex molecule binding
GO:0042288	major histocompatibility complex class I molecule binding
GO:0042289	major histocompatibility complex class II molecule binding
GO:0004229	gelatinase B
GO:0042290	URM1 hydrolase
GO:0042291	Hub1 hydrolase
GO:0042292	URM1 activating enzyme
GO:0042293	Hub1 activating enzyme
GO:0042294	URM1 conjugating enzyme
GO:0042295	Hub1 conjugating enzyme
GO:0042296	ISG15 conjugating enzyme
GO:0042297	vocal learning
GO:0042298	phospholipase C, acting on phosphatidylcholine
GO:0042299	lupeol synthase
GO:0004230	glutamyl aminopeptidase
GO:0042300	beta-amyrin synthase
GO:0042301	phosphate binding
GO:0042302	structural constituent of cuticle
GO:0042303	molting cycle
GO:0042304	regulation of fatty acid biosynthesis
GO:0042305	specification of segmental identity, mandibular segment
GO:0042306	regulation of protein-nucleus import
GO:0042307	positive regulation of protein-nucleus import
GO:0042308	negative regulation of protein-nucleus import
GO:0042309	homoiothermy
GO:0004231	insulysin
GO:0042310	vasoconstriction
GO:0042311	vasodilation
GO:0042312	regulation of vasodilation
GO:0042313	protein kinase C deactivation
GO:0042314	bacteriochlorophyll binding
GO:0042315	cytosol nonspecific dipeptidase
GO:0042316	penicillin metabolism
GO:0042317	penicillin catabolism
GO:0042318	penicillin biosynthesis
GO:0042319	acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase
GO:0004232	interstitial collagenase
GO:0042320	regulation of REM sleep
GO:0042321	inhibition of sleep
GO:0042322	inhibition of REM sleep
GO:0042323	inhibition of non-REM sleep
GO:0042324	orexin receptor ligand
GO:0042325	regulation of phosphorylation
GO:0042326	inhibition of phosphorylation
GO:0042327	positive regulation of phosphorylation
GO:0042328	heparan sulfate N-acetylglucosaminyltransferase
GO:0004234	macrophage elastase
GO:0004235	matrilysin
GO:0004237	membrane dipeptidase
GO:0004238	meprin A
GO:0004239	methionyl aminopeptidase
GO:0004240	mitochondrial processing peptidase
GO:0004241	alpha-mitochondrial processing peptidase
GO:0004242	beta-mitochondrial processing peptidase
GO:0004243	mitochondrial intermediate peptidase
GO:0004244	mitochondrial inner membrane peptidase
GO:0004245	neprilysin
GO:0004246	peptidyl-dipeptidase A
GO:0004247	saccharolysin
GO:0004248	stromelysin 1
GO:0004249	stromelysin 3
GO:0004250	vacuolar aminopeptidase I
GO:0004251	Xaa-Pro dipeptidase
GO:0004252	serine-type endopeptidase
GO:0004253	gamma-renin
GO:0004254	acylaminoacyl-peptidase
GO:0004258	vacuolar carboxypeptidase Y
GO:0004261	cathepsin G
GO:0004262	cerevisin
GO:0004263	chymotrypsin
GO:0004274	dipeptidyl-peptidase IV
GO:0004275	enteropeptidase
GO:0004276	furin
GO:0004277	granzyme A
GO:0004278	granzyme B
GO:0004279	kininogenase
GO:0004281	pancreatic elastase II
GO:0004283	plasmin
GO:0004284	acrosin
GO:0004285	proprotein convertase 1
GO:0004286	proprotein convertase 2
GO:0004287	prolyl oligopeptidase
GO:0004289	subtilase
GO:0004290	kexin
GO:0004291	subtilisin
GO:0004293	tissue kallikrein
GO:0004294	tripeptidyl-peptidase II
GO:0004295	trypsin
GO:0004296	T-plasminogen activator
GO:0004297	U-plasminogen activator
GO:0004298	threonine endopeptidase
GO:0004299	proteasome endopeptidase
GO:0000043	para-hydroxybenzoate:polyprenyltransferase
GO:0004300	enoyl-CoA hydratase
GO:0004301	epoxide hydrolase
GO:0004303	estradiol 17 beta-dehydrogenase
GO:0004304	estrone sulfotransferase
GO:0004305	ethanolamine kinase
GO:0004306	ethanolamine-phosphate cytidylyltransferase
GO:0004307	ethanolaminephosphotransferase
GO:0004308	exo-alpha-sialidase
GO:0004309	exopolyphosphatase
GO:0004310	farnesyl-diphosphate farnesyltransferase
GO:0004311	farnesyltranstransferase
GO:0004312	fatty-acid synthase
GO:0004313	[acyl-carrier protein] S-acetyltransferase
GO:0004314	[acyl-carrier protein] S-malonyltransferase
GO:0004315	3-oxoacyl-[acyl-carrier protein] synthase
GO:0004316	3-oxoacyl-[acyl-carrier protein] reductase
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier protein] dehydratase
GO:0004318	enoyl-[acyl-carrier protein] reductase (NADH)
GO:0004319	enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)
GO:0004320	oleoyl-[acyl-carrier protein] hydrolase
GO:0004321	fatty-acyl-CoA synthase
GO:0004322	ferroxidase
GO:0004323	multicopper ferroxidase iron transport mediator
GO:0004324	ferredoxin-NADP reductase
GO:0004325	ferrochelatase
GO:0004326	folylpolyglutamate synthase
GO:0004327	formaldehyde dehydrogenase (glutathione)
GO:0004328	formamidase
GO:0004329	formate-tetrahydrofolate ligase
GO:0004331	fructose-2,6-bisphosphatase
GO:0004332	fructose-bisphosphate aldolase
GO:0004333	fumarate hydratase
GO:0004334	fumarylacetoacetase
GO:0004335	galactokinase
GO:0004336	galactosylceramidase
GO:0004337	geranyltranstransferase
GO:0004338	glucan 1,3-beta-glucosidase
GO:0004339	glucan 1,4-alpha-glucosidase
GO:0004340	glucokinase
GO:0004341	gluconolactonase
GO:0004342	glucosamine-6-phosphate isomerase
GO:0004343	glucosamine-phosphate N-acetyltransferase
GO:0004344	glucose dehydrogenase (acceptor)
GO:0004345	glucose-6-phosphate 1-dehydrogenase
GO:0004346	glucose-6-phosphatase
GO:0004347	glucose-6-phosphate isomerase
GO:0004348	glucosylceramidase
GO:0004349	glutamate 5-kinase
GO:0004350	glutamate-5-semialdehyde dehydrogenase
GO:0004351	glutamate decarboxylase
GO:0004352	glutamate dehydrogenase
GO:0004353	glutamate dehydrogenase (NAD(P)+)
GO:0004354	glutamate dehydrogenase (NADP+)
GO:0004355	glutamate synthase (NADPH)
GO:0004356	glutamate-ammonia ligase
GO:0004357	glutamate-cysteine ligase
GO:0004358	glutamate N-acetyltransferase
GO:0004359	glutaminase
GO:0004360	glucosamine-fructose-6-phosphate aminotransferase (isomerizing)
GO:0004361	glutaryl-CoA dehydrogenase
GO:0004362	glutathione reductase (NADPH)
GO:0004363	glutathione synthase
GO:0004364	glutathione transferase
GO:0004365	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)
GO:0004366	glycerol-3-phosphate acyltransferase
GO:0004367	glycerol-3-phosphate dehydrogenase (NAD+)
GO:0004368	glycerol-3-phosphate dehydrogenase
GO:0004369	glycerol-3-phosphate oxidase
GO:0004370	glycerol kinase
GO:0004371	glycerone kinase
GO:0004372	glycine hydroxymethyltransferase
GO:0004373	glycogen (starch) synthase
GO:0004374	glycine cleavage system
GO:0004375	glycine dehydrogenase (decarboxylating)
GO:0004376	glycolipid mannosyltransferase
GO:0004377	glycolipid 2-alpha-mannosyltransferase
GO:0004378	glycolipid 3-alpha-mannosyltransferase
GO:0004379	glycylpeptide N-tetradecanoyltransferase
GO:0004380	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
GO:0004381	glycoprotein-fucosylgalactoside alpha-galactosyltransferase
GO:0004382	guanosine-diphosphatase
GO:0004383	guanylate cyclase
GO:0004384	membrane-associated protein with guanylate kinase activity
GO:0004385	guanylate kinase
GO:0004386	helicase
GO:0004392	heme oxygenase (decyclizing)
GO:0004393	heparin N-deacetylase/N-sulfotransferase
GO:0004394	heparin-sulfate 2-sulfotransferase
GO:0004395	hexaprenyldihydroxybenzoate methyltransferase
GO:0004396	hexokinase
GO:0004397	histidine ammonia-lyase
GO:0004398	histidine decarboxylase
GO:0004399	histidinol dehydrogenase
GO:0000044	ascorbate stabilization
GO:0004400	histidinol-phosphate aminotransferase
GO:0004401	histidinol-phosphatase
GO:0004402	histone acetyltransferase
GO:0004405	H2A/H2B histone acetyltransferase
GO:0004406	H3/H4 histone acetyltransferase
GO:0004407	histone deacetylase
GO:0004408	holocytochrome c synthase
GO:0004409	homoaconitate hydratase
GO:0004410	homocitrate synthase
GO:0004411	homogentisate 1,2-dioxygenase
GO:0004412	homoserine dehydrogenase
GO:0004413	homoserine kinase
GO:0004414	homoserine O-acetyltransferase
GO:0004415	hyaluronoglucosaminidase
GO:0004416	hydroxyacylglutathione hydrolase
GO:0004417	hydroxyethylthiazole kinase
GO:0004418	hydroxymethylbilane synthase
GO:0004419	hydroxymethylglutaryl-CoA lyase
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH)
GO:0004421	hydroxymethylglutaryl-CoA synthase
GO:0004422	hypoxanthine phosphoribosyltransferase
GO:0004423	iduronate-2-sulfatase
GO:0004424	imidazoleglycerol-phosphate dehydratase
GO:0004425	indole-3-glycerol-phosphate synthase
GO:0004426	indoleamine-pyrrole 2,3-dioxygenase
GO:0004427	inorganic diphosphatase
GO:0004428	inositol/phosphatidylinositol kinase
GO:0004429	1-phosphatidylinositol 3-kinase
GO:0004430	1-phosphatidylinositol 4-kinase
GO:0004431	1-phosphatidylinositol-4-phosphate kinase
GO:0004432	1-phosphatidylinositol-4-phosphate kinase, class IA
GO:0004433	1-phosphatidylinositol-4-phosphate kinase, class IB
GO:0004434	inositol/phosphatidylinositol phosphodiesterase
GO:0004435	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
GO:0004436	1-phosphatidylinositol phosphodiesterase
GO:0004437	inositol/phosphatidylinositol phosphatase
GO:0004438	phosphatidylinositol-3-phosphatase
GO:0004439	phosphatidylinositol-bisphosphatase
GO:0004440	phosphatidylinositol-3,4-bisphosphate 4-phosphatase
GO:0004441	inositol-1,4,-bisphosphate 1-phosphatase
GO:0004442	inositol-1,4,-bisphosphate 3-phosphatase
GO:0004443	inositol-1,4,-bisphosphate 4-phosphatase
GO:0004444	inositol-1,4,5-trisphosphate 1-phosphatase
GO:0004445	inositol-1,4,5-trisphosphate 5-phosphatase
GO:0004446	inositol-1,3,4,5-tetrakiphosphate 3-phosphatase
GO:0004447	iodide peroxidase
GO:0004448	isocitrate dehydrogenase
GO:0004449	isocitrate dehydrogenase (NAD+)
GO:0004450	isocitrate dehydrogenase (NADP+)
GO:0004451	isocitrate lyase
GO:0004452	isopentenyl-diphosphate delta-isomerase
GO:0004453	juvenile hormone esterase
GO:0004454	ketohexokinase
GO:0004455	ketol-acid reductoisomerase
GO:0004456	ketopantoaldase
GO:0004457	lactate dehydrogenase
GO:0004458	D-lactate dehydrogenase (cytochrome)
GO:0004459	L-lactate dehydrogenase
GO:0004460	L-lactate dehydrogenase (cytochrome)
GO:0004461	lactose synthase
GO:0004462	lactoylglutathione lyase
GO:0004463	leukotriene-A4 hydrolase
GO:0004464	leukotriene-C4 synthase
GO:0004465	lipoprotein lipase
GO:0004466	long-chain acyl-CoA dehydrogenase
GO:0004467	long-chain-fatty-acid-CoA-ligase
GO:0004468	lysine acetyltransferase
GO:0004469	lysophosphatidate acyltransferase
GO:0004470	malic enzyme
GO:0004471	malate dehydrogenase (decarboxylating)
GO:0004473	malate dehydrogenase (oxaloacetate decarboxylating) (NADP+)
GO:0004474	malate synthase
GO:0004475	mannose-1-phosphate guanylyltransferase
GO:0004476	mannose-6-phosphate isomerase
GO:0004477	methenyltetrahydrofolate cyclohydrolase
GO:0004478	methionine adenosyltransferase
GO:0004479	methionyl-tRNA formyltransferase
GO:0004481	methylene-fatty-acyl-phospholipid synthase
GO:0004482	mRNA (guanine-N7)-methyltransferase
GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase
GO:0004484	mRNA guanylyltransferase
GO:0004485	methylcrotonyl-CoA carboxylase
GO:0004486	methylenetetrahydrofolate dehydrogenase
GO:0004487	methylenetetrahydrofolate dehydrogenase (NAD+)
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+)
GO:0004489	methylenetetrahydrofolate reductase (NADPH)
GO:0004490	methylglutaconyl-CoA hydratase
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating)
GO:0004492	methylmalonyl-CoA decarboxylase
GO:0004493	methylmalonyl-CoA epimerase
GO:0004494	methylmalonyl-CoA mutase
GO:0004495	mevaldate reductase
GO:0004496	mevalonate kinase
GO:0004497	monooxygenase
GO:0004498	calcidiol 1-monooxygenase
GO:0004499	dimethylaniline monooxygenase (N-oxide forming)
GO:0000045	autophagic vacuole formation
GO:0004500	dopamine-beta-monooxygenase
GO:0045001	intrastrand cross-link repair
GO:0045002	double-strand break repair via single-strand annealing
GO:0045003	double-strand break repair via synthesis-dependent strand annealing
GO:0045004	DNA replication proofreading
GO:0045005	maintenance of fidelity during DNA dependent DNA replication
GO:0045006	DNA deamination
GO:0045007	depurination
GO:0045008	depyrimidination
GO:0045009	chitosome (sensu Fungi)
GO:0004501	ecdysone 20-monooxygenase
GO:0045010	actin nucleation
GO:0045011	actin cable assembly
GO:0045012	MHC class II receptor
GO:0045013	carbon catabolite repression (sensu Bacillus)
GO:0045014	glucose repression (sensu Bacillus)
GO:0045015	HDEL receptor
GO:0045016	mitochondrial magnesium ion transport
GO:0045017	glycerolipid biosynthesis
GO:0045018	retrograde transport from the vacuole
GO:0045019	inhibition of nitric oxide biosynthesis
GO:0004502	kynurenine 3-monooxygenase
GO:0045020	error-prone DNA repair
GO:0045021	error-free DNA repair
GO:0045022	early endosome to late endosome transport
GO:0045023	G0 to G1 transition
GO:0045024	peptidyl-glutamyl peptide hydrolyzing enzyme
GO:0045025	mitochondrial degradosome
GO:0045026	plasma membrane fusion
GO:0045027	DNA end binding
GO:0045028	purinergic nucleotide receptor, G-protein coupled
GO:0045029	UDP-activated nucleotide receptor
GO:0004503	monophenol monooxygenase
GO:0045030	UTP-activated nucleotide receptor
GO:0045031	ATP-activated nucleotide receptor
GO:0045032	ADP-activated nucleotide receptor
GO:0045033	peroxisome inheritance
GO:0045034	neuroblast cell division
GO:0045035	sensory organ precursor cell division
GO:0045036	protein-chloroplast targeting
GO:0045037	chloroplast stroma protein import
GO:0045038	chloroplast thylakoid protein import
GO:0045039	mitochondrial inner membrane protein import
GO:0004504	peptidyl-glycine monooxygenase
GO:0045040	mitochondrial outer membrane protein import
GO:0045041	mitochondrial intermembrane space protein import
GO:0045042	conservative mitochondrial IMS protein import
GO:0045043	non-conservative mitochondrial IMS protein import
GO:0045044	direct mitochondrial IMS protein import
GO:0045045	secretory pathway
GO:0045046	peroxisome membrane protein import
GO:0045047	protein-ER targeting
GO:0045048	ER insertion
GO:0045049	ER insertion by N-terminal cleaved signal sequence
GO:0004505	phenylalanine 4-monooxygenase
GO:0045050	ER insertion by stop-transfer membrane-anchor sequence
GO:0045051	ER insertion by internal uncleaved signal-anchor sequence
GO:0045052	ER insertion by GPI attachment sequence
GO:0045053	Golgi retention
GO:0045054	constitutive secretory pathway
GO:0045055	regulated secretory pathway
GO:0045056	transcytosis
GO:0045057	cisternal progression
GO:0045058	T-cell selection
GO:0045059	positive thymic T-cell selection
GO:0004506	squalene monooxygenase
GO:0045060	negative thymic T-cell selection
GO:0045061	thymic T-cell selection
GO:0045062	extrathymic T-cell selection
GO:0045063	Th1 cell differentiation
GO:0045064	Th2 cell differentiation
GO:0045065	cytotoxic T-cell differentiation
GO:0045066	suppressor T-cell differentiation
GO:0045067	positive extrathymic T-cell selection
GO:0045068	negative extrathymic T-cell selection
GO:0045069	regulation of viral genome replication
GO:0004507	steroid 11-beta-monooxygenase
GO:0045070	positive regulation of viral genome replication
GO:0045071	negative regulation of viral genome replication
GO:0045072	regulation of interferon-gamma biosynthesis
GO:0045073	regulation of chemokine biosynthesis
GO:0045074	regulation of interleukin-10 biosynthesis
GO:0045075	regulation of interleukin-12 biosynthesis
GO:0045076	regulation of interleukin-2 biosynthesis
GO:0045077	inhibition of interferon-gamma biosynthesis
GO:0045078	activation of interferon-gamma biosynthesis
GO:0045079	inhibition of chemokine biosynthesis
GO:0004508	steroid 17-alpha-monooxygenase
GO:0045080	activation of chemokine biosynthesis
GO:0045081	inhibition of interleukin-10 biosynthesis
GO:0045082	activation of interleukin-10 biosynthesis
GO:0045083	inhibition of interleukin-12 biosynthesis
GO:0045084	activation of interleukin-12 biosynthesis
GO:0045085	inhibition of interleukin-2 biosynthesis
GO:0045086	activation of interleukin-2 biosynthesis
GO:0045087	innate immune response
GO:0045088	regulation of innate immune response
GO:0045089	activation of innate immune response
GO:0004509	steroid 21-monooxygenase
GO:0045090	retroviral genome replication
GO:0045091	regulation of retroviral genome replication
GO:0045092	interleukin-18 receptor complex
GO:0045093	interleukin-18 alpha subunit binding
GO:0045094	interleukin-18 beta subunit binding
GO:0045095	keratin filament
GO:0045096	acidic keratin
GO:0045097	basic/neutral keratin
GO:0045098	type III intermediate filament protein
GO:0045099	vimentin
GO:0004510	tryptophan 5-monooxygenase
GO:0045100	desmin
GO:0045101	glial fibrillary acidic protein
GO:0045102	peripherin
GO:0045103	intermediate filament-based process
GO:0045104	intermediate filament cytoskeleton organization and biogenesis
GO:0045105	intermediate filament polymerization and/or depolymerization
GO:0045106	intermediate filament depolymerization
GO:0045107	intermediate filament polymerization
GO:0045108	control of intermediate filament polymerization and/or depolymerization
GO:0045109	intermediate filament organization
GO:0004511	tyrosine 3-monooxygenase
GO:0045110	intermediate filament bundle assembly
GO:0045111	intermediate filament cytoskeleton
GO:0045112	integrin biosynthesis
GO:0045113	regulation of integrin biosynthesis
GO:0045114	beta 2 integrin biosynthesis
GO:0045115	regulation of beta 2 integrin biosythesis
GO:0045116	protein neddylation
GO:0045117	azole transport
GO:0045118	azole transporter
GO:0045119	azole:hydrogen antiporter
GO:0004512	inositol-3-phosphate synthase
GO:0045120	pronucleus
GO:0045121	lipid raft
GO:0045122	aflatoxin biosynthesis
GO:0045123	cellular extravasation
GO:0045124	regulation of bone resorption
GO:0045125	bioactive lipid receptor
GO:0045126	phospholipase B
GO:0045127	N-acetylglucosamine kinase
GO:0045128	suppression of meiosis
GO:0045129	NAD-independent histone deacetylase
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase
GO:0045130	keratan sulfate Gal-6-sulfotransferase
GO:0045131	mRNA branch point binding
GO:0045132	meiotic chromosome segregation
GO:0045133	2,3-dihydroxybenzoate 3,4-dioxygenase
GO:0045134	uridine diphosphatase
GO:0045135	poly(beta-D-mannuronate) lyase
GO:0045136	development of secondary sexual characteristics
GO:0045137	development of primary sexual characteristics
GO:0045138	tail tip morphogenesis (sensu Nematoda)
GO:0045139	copper sensitivity/resistance
GO:0004514	nicotinate-nucleotide pyrophosphorylase (carboxylating)
GO:0045140	inositol phosphoceramide synthase
GO:0045141	telomere clustering
GO:0045142	triplex DNA binding
GO:0045143	meiosis I, chromosome segregation
GO:0045144	meiosis II, chromosome segregation
GO:0045145	single-stranded DNA specific 5'-3' exodeoxyribonuclease
GO:0045146	acetate induction of acetate catabolism
GO:0045147	regulation of acetate induction
GO:0045148	tripeptide aminopeptidase
GO:0045149	acetoin metabolism
GO:0004515	nicotinate-nucleotide adenylyltransferase
GO:0045150	acetoin catabolism
GO:0045151	acetoin biosynthesis
GO:0045152	anti-sigma factor antagonist
GO:0045153	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex
GO:0045154	electron transporter, transferring electrons within cytochrome c oxidase complex
GO:0045155	electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex
GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis
GO:0045157	electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis
GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II
GO:0045159	myosin II binding
GO:0004516	nicotinate phosphoribosyltransferase
GO:0045160	myosin I
GO:0045161	ion channel clustering
GO:0045162	clustering of voltage gated sodium channels
GO:0045163	clustering of voltage gated potassium channels
GO:0045164	secretin (sensu Mammalia)
GO:0045165	cell fate determination
GO:0045166	protein secretion involved in cell fate determination
GO:0045167	asymmetric protein localization involved in call fate determination
GO:0045168	cell-cell signaling involved in cell fate determination
GO:0045169	fusome
GO:0004517	nitric oxide synthase
GO:0045170	spectrosome
GO:0045171	intercellular bridge
GO:0045172	ring canal (sensu Drosophila)
GO:0045173	O-sialoglycoprotein degradation
GO:0045174	dehydroascorbate reductase
GO:0045175	basal protein localization
GO:0045176	apical protein localization
GO:0045177	apical part of cell
GO:0045178	basal part of cell
GO:0045179	apical cortex
GO:0004518	nuclease
GO:0045180	basal cortex
GO:0045181	glutamate synthase, NADH or NADPH as acceptor
GO:0045182	translation regulator
GO:0045183	translation factor, non-nucleic acid binding
GO:0045184	establishment of protein localization
GO:0045185	maintenance of protein localization
GO:0045186	zonula adherens assembly
GO:0045187	regulation of sleep
GO:0045188	regulation of non-REM sleep
GO:0045189	connective tissue growth factor biosynthesis
GO:0004519	endonuclease
GO:0045190	isotype switching
GO:0045191	regulation of isotype switching
GO:0045192	low-density lipoprotein catabolism
GO:0045193	acetylated low-density lipoprotein catabolism
GO:0045194	oxidized low-density lipoprotein catabolism
GO:0045195	gallstone formation
GO:0045196	establishment and/or maintenance of neuroblast cell polarity
GO:0045197	establishment and/or maintenance of epithelial cell polarity
GO:0045198	establishment of epithelial cell polarity
GO:0045199	maintenance of epithelial cell polarity
GO:0004520	endodeoxyribonuclease
GO:0045200	establishment of neuroblast cell polarity
GO:0045201	maintenance of neuroblast cell polarity
GO:0045202	synaptic junction
GO:0045203	integral protein of the external outer membrane (sensu Gram-negative bacteria)
GO:0045204	MAPK nucleus export
GO:0045205	MAPK transporter
GO:0045206	MAPK phosphatase transporter
GO:0045207	leptomycin B-sensitive MAPK phosphatase transporter
GO:0045208	MAPK phosphatase nucleus export
GO:0045209	leptomycin B-sensitive MAPK phosphatase nucleus export
GO:0004521	endoribonuclease
GO:0045210	FasL biosynthesis
GO:0045211	post-synaptic membrane
GO:0045212	neurotransmitter receptor biosynthesis
GO:0045213	neurotransmitter receptor metabolism
GO:0045214	sarcomere organization
GO:0045215	1-phosphatidylinositol-4-phosphate kinase
GO:0045216	intercellular junction assembly and/or maintenance
GO:0045217	intercellular junction maintenance
GO:0045218	zonula adherens maintenance
GO:0045219	regulation of FasL biosynthesis
GO:0004522	pancreatic ribonuclease
GO:0045220	positive regulation of FasL biosynthesis
GO:0045221	negative regulation of FasL biosynthesis
GO:0045222	CD4 biosynthesis
GO:0045223	regulation of CD4 biosynthesis
GO:0045224	positive regulation of CD4 biosynthesis
GO:0045225	negative regulation of CD4 biosynthesis
GO:0045226	extracellular polysaccharide biosynthesis
GO:0045227	capsule polysaccharide biosynthesis
GO:0045228	slime layer polysaccharide biosynthesis
GO:0045229	external protective structure organization and biogenesis
GO:0004523	ribonuclease H
GO:0045230	capsule organization and biogenesis
GO:0045231	slime layer organization and biogenesis
GO:0045232	S-layer organization and biogenesis
GO:0045233	natural killer cell receptor
GO:0045234	protein palmitoleylation
GO:0045235	protein amino acid palmitoleylation
GO:0045236	C-X-C chemokine receptor binding
GO:0045237	C-X-C chemokine receptor type 1 binding
GO:0045238	C-X-C chemokine receptor type 2 binding
GO:0045239	TCA cycle enzyme complex
GO:0004524	ribonuclease H1
GO:0045240	alpha-ketoglutarate dehydrogenase complex
GO:0045241	alpha-ketoglutarate dehydrogenase complex (sensu Bacteria)
GO:0045242	isocitrate dehydrogenase complex (NAD+)
GO:0045243	isocitrate dehydrogenase complex (NAD+) (sensu Bacteria)
GO:0045244	succinate-CoA ligase complex (GDP-forming)
GO:0045245	succinate-CoA ligase complex (GDP-forming) (sensu Bacteria)
GO:0045246	TCA cycle enzyme complex (sensu Bacteria)
GO:0045247	electron transfer flavoprotein (sensu Bacteria)
GO:0045248	oxoglutarate dehydrogenase complex (sensu Bacteria)
GO:0045249	pyruvate dehydrogenase (lipoamide) phosphatase (sensu Bacteria)
GO:0004525	ribonuclease III
GO:0045250	pyruvate dehydrogenase complex (sensu Bacteria)
GO:0045251	electron transfer flavoprotein complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0045253	pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0045254	pyruvate dehydrogenase complex
GO:0045255	hydrogen-translocating F-type ATPase complex
GO:0045256	hydrogen-translocating F-type ATPase complex (sensu Bacteria)
GO:0045257	succinate dehydrogenase complex (ubiquinone)
GO:0045258	succinate dehydrogenase complex (ubiquinone) (sensu Bacteria)
GO:0045259	proton-transporting ATP synthase complex
GO:0004526	ribonuclease P
GO:0045260	proton-transporting ATP synthase complex (sensu Bacteria)
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045262	proton-transporting ATP synthase complex, catalytic core F(1) (sensu Bacteria)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(0)
GO:0045264	proton-transporting ATP synthase complex, coupling factor F(0) (sensu Bacteria)
GO:0045265	hydrogen-transporting ATP synthase, stator stalk
GO:0045266	hydrogen-transporting ATP synthase, stator stalk (sensu Bacteria)
GO:0045267	hydrogen-transporting ATP synthase, catalytic core
GO:0045268	hydrogen-transporting ATP synthase, catalytic core (sensu Bacteria)
GO:0045269	hydrogen-transporting ATP synthase, central stalk
GO:0004527	exonuclease
GO:0045270	hydrogen-transporting ATP synthase, central stalk (sensu Bacteria)
GO:0045271	respiratory chain complex I
GO:0045272	respiratory chain complex I (sensu Bacteria)
GO:0045273	respiratory chain complex II
GO:0045274	respiratory chain complex II (sensu Bacteria)
GO:0045275	respiratory chain complex III
GO:0045276	respiratory chain complex III (sensu Bacteria)
GO:0045277	respiratory chain complex IV
GO:0045278	respiratory chain complex IV (sensu Bacteria)
GO:0045279	NADH dehydrogenase (ubiquinone)
GO:0004528	phosphodiesterase I
GO:0045280	NADH dehydrogenase (ubiquinone) (sensu Bacteria)
GO:0045281	succinate dehydrogenase complex
GO:0045282	succinate dehydrogenase complex (sensu Bacteria)
GO:0045283	fumarate reductase complex
GO:0045284	fumarate reductase complex (sensu Bacteria)
GO:0045285	ubiquinol-cytochrome c reductase
GO:0045286	ubiquinol-cytochrome c reductase (sensu Bacteria)
GO:0045289	luciferase monooxygenase
GO:0004529	exodeoxyribonuclease
