class	size	virtual_size	pval (mean)	raw score (mean)	pval  (median)	virtual_size (median)	hyper pval	aroc rate	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
monocarboxylate channel(GO:0015256)	21	16	0.6829	0.361600606	0.7555	16	0.988018709	0.414690469	0.246554144	0.560418537	0.879648381	0.962131954	0.988018709	0.995191231	0.995191231	0.997592899	0.997592899	0.997592899
monocarboxylic acid transport(GO:0015718)	4	4	0.6095	0.621166206	0.407	4	0.996993839	0.426765016	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
monocarboxylic acid transporter(GO:0008028)	5	5	0.4866	0.621166206	0.407	5	0.99624343	0.495031617	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
monooxygenase(GO:0004497)	27	26	0.4453	0.410452503	0.6845	26	0.019265008	0.481724815	0.202624203	0.17232815	0.170287867	0.059141246	0.019265008	0.00779365	0.00779365	0.003911539	0.003911539	0.003911539
monosaccharide metabolism(GO:0005996)	122	97	0.5933	0.325644147	0.8145	97	0.929112763	0.454546313	0.079524307	0.221964818	0.361872328	0.790193853	0.929112763	0.971024694	0.971024694	0.985406951	0.985406951	0.985406951
monosaccharide transport(GO:0015749)	7	6	0.0241	1.499489089	0.0353	6	0.995493473	0.732545299	0.061459386	0.177926571	0.045998039	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
monosaccharide transporter(GO:0015145)	6	5	0.0431	0.47432042	0.6041	5	0.99624343	0.623426679	0.174152408	0.153710562	0.038634165	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
monoubiquitination(GO:0006513)	10	7	0.6516	0.378403134	0.7412	7	0.994743967	0.423300344	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
monovalent inorganic cation homeostasis(GO:0030004)	6	5	0.1872	0.75325529	0.2886	5	0.99624343	0.640529961	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
monovalent inorganic cation transporter(GO:0015077)	114	90	0.5626	0.444736222	0.6454	90	0.934089634	0.482527579	0.046321132	0.037782194	0.484140458	0.803830153	0.934089634	0.973101435	0.973101435	0.986460057	0.986460057	0.986460057
morphogenesis of an epithelium(GO:0002009)	5	4	0.6675	0.535242268	0.5201	4	0.996993839	0.452167695	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
morphogenesis(GO:0009653)	26	24	0.6516	0.487816078	0.5932	24	0.982071285	0.475904676	0.188448127	0.371787915	0.824922313	0.943706105	0.982071285	0.992791193	0.992791193	0.996389349	0.996389349	0.996389349
motor(GO:0003774)	83	63	0.5626	0.424010144	0.6697	63	0.953486311	0.489066809	0.127460606	0.237534073	0.602467342	0.858521459	0.953486311	0.981132499	0.981132499	0.99052204	0.99052204	0.99052204
M-phase specific microtubule process(GO:0000072)	19	11	0.6989	0.549150687	0.509	11	0.991750457	0.496821744	0.117713351	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
mRNA binding(GO:0003729)	113	93	0.3951	0.407432997	0.6953	93	0.931954084	0.523449523	0.047637092	0.225801585	0.472493463	0.797959232	0.931954084	0.972211131	0.972211131	0.986008726	0.986008726	0.986008726
"mRNA binding, 3' UTR(GO:0003730)"	7	7	0.4314	0.529633617	0.5347	7	0.994743967	0.496600688	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
mRNA cap binding(GO:0003731)	5	4	0.5177	0.625086763	0.407	4	0.996993839	0.588438958	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
mRNA catabolism(GO:0006402)	8	7	0.2964	0.590016184	0.4436	7	0.994743967	0.553743546	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
mRNA cleavage and polyadenylation specificity factor complex(GO:0005847)	5	4	0.6829	0.755079956	0.2886	4	0.996993839	0.514978173	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
mRNA cleavage(GO:0006379)	9	7	0.5177	0.355571259	0.7725	7	0.994743967	0.504819277	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
mRNA editing(GO:0006381)	4	4	0.202	0.990081915	0.1535	4	0.996993839	0.630663857	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
mRNA metabolism(GO:0016071)	37	30	0.3072	0.415623539	0.6845	30	0.97762954	0.565125183	0.125142237	0.199728946	0.786083714	0.930104385	0.97762954	0.990993065	0.990993065	0.995486686	0.995486686	0.995486686
mRNA modification(GO:0016556)	4	4	0.202	0.990081915	0.1535	4	0.996993839	0.630663857	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
mRNA polyadenylation(GO:0006378)	16	12	0.5933	0.355571259	0.7725	12	0.991003207	0.477467973	0.2499014	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
mRNA splice site selection(GO:0006376)	17	14	0.2156	0.567239092	0.4832	14	0.989510058	0.611961836	0.059767021	0.311155874	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
mRNA splicing(GO:0006371)	104	86	0.4866	0.362080192	0.7555	86	0.936943121	0.483560362	0.107829217	0.221554334	0.500108903	0.811721057	0.936943121	0.974289139	0.974289139	0.987061832	0.987061832	0.987061832
mRNA-nucleus export(GO:0006406)	9	7	0.4197	0.315652927	0.8269	7	0.994743967	0.471127367	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
mu DNA polymerase(GO:0016448)	9	8	0.6374	0.308000473	0.8398	8	0.993994913	0.420018075	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
muscle attachment(GO:0016203)	9	6	0.3825	0.449993806	0.6454	6	0.995493473	0.552803293	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
muscle contraction regulation(GO:0006937)	18	16	0.2156	0.522104221	0.5347	16	0.011927191	0.568786759	0.246554144	0.330853721	0.113382251	0.037228806	0.011927191	0.004803336	0.004803336	0.002407101	0.002407101	0.002407101
muscle contraction(GO:0006936)	99	75	0.4314	0.454544432	0.6329	75	0.053944857	0.522641509	0.121223225	0.250719844	0.333323563	0.15259365	0.053944857	0.022315304	0.022315304	0.011283286	0.011283286	0.011283286
muscle development(GO:0007517)	98	71	0.5626	0.348421574	0.7868	71	0.947705871	0.473135345	0.07270109	0.220220624	0.564725505	0.841963428	0.947705871	0.978749484	0.978749484	0.98931849	0.98931849	0.98931849
muscle fiber(GO:0030484)	62	45	0.6237	0.348421574	0.7868	45	0.966595459	0.484041873	0.088159403	0.195484543	0.696666037	0.896899816	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
muscle motor(GO:0003776)	10	8	0.3171	0.625860459	0.407	8	0.993994913	0.624472812	0.116745444	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
muscle myosin(GO:0005859)	20	18	0.6516	0.43487858	0.6565	18	0.986529159	0.497351704	0.213047558	0.521234456	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
muscle thin filament tropomyosin(GO:0005862)	5	4	0.4314	0.45569626	0.6329	4	0.996993839	0.584148728	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
myofibril(GO:0030016)	44	29	0.6237	0.348421574	0.7868	29	0.978368713	0.469867967	0.128562529	0.349722437	0.792429858	0.9323585	0.978368713	0.99129264	0.99129264	0.99563713	0.99563713	0.99563713
myogenesis(GO:0007519)	16	10	0.5471	0.510758909	0.5534	10	0.992498158	0.515338255	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
myo-inositol metabolism(GO:0006020)	5	4	0.7142	0.477451444	0.6041	4	0.996993839	0.581514376	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
myosin ATPase(GO:0008570)	14	10	0.6374	0.361815355	0.7555	10	0.992498158	0.497589272	0.169695694	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
myosin II(GO:0016460)	31	27	0.6516	0.394554881	0.7111	27	0.979848399	0.478773638	0.151903646	0.376059136	0.805273313	0.936882104	0.979848399	0.991891925	0.991891925	0.995938017	0.995938017	0.995938017
myosin phosphatase(GO:0017018)	34	29	0.3726	0.522936655	0.5347	29	0.978368713	0.517204906	0.192835336	0.193246516	0.020563554	0.9323585	0.978368713	0.99129264	0.99129264	0.99563713	0.99563713	0.99563713
"myosin phosphatase, regulator(GO:0017020)"	16	13	0.4089	0.348034252	0.7868	13	0.990256407	0.439066812	0.222864843	0.299541278	0.09432412	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
myosin(GO:0016459)	52	43	0.5471	0.394554881	0.7111	43	0.968060886	0.486466976	0.158603158	0.334990191	0.707985073	0.901261963	0.968060886	0.987102714	0.987102714	0.993530916	0.993530916	0.993530916
mystery cell fate differentiation(GO:0008583)	4	4	0.8767	0.189270278	0.9563	4	0.996993839	0.329595062	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
N-acetylglucosamine metabolism(GO:0006044)	4	4	0.7302	0.418892682	0.6845	4	0.996993839	0.448329068	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
N-acetyltransferase(GO:0008080)	17	15	0.2498	0.380395422	0.7296	15	0.988764159	0.552553277	0.073850521	0.082679365	0.107135888	0.964458754	0.988764159	0.995491439	0.995491439	0.997743343	0.997743343	0.997743343
N-acyltransferase(GO:0016410)	19	17	0.2586	0.380395422	0.7296	17	0.987273709	0.552790347	0.044197805	0.099665255	0.119523932	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
NAD+ ADP-ribosyltransferase(GO:0003950)	6	6	0.4089	0.643305041	0.3854	6	0.995493473	0.57117402	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
NADH dehydrogenase (ubiquinone) (sensu Eukarya)(GO:0005748)	36	29	0.6374	0.318125878	0.8269	29	0.978368713	0.452011755	0.128562529	0.349722437	0.792429858	0.9323585	0.978368713	0.99129264	0.99129264	0.99563713	0.99563713	0.99563713
NADH dehydrogenase (ubiquinone)(GO:0008137)	43	35	0.5933	0.451536875	0.6329	35	0.973940376	0.480096794	0.123173077	0.281233659	0.75509342	0.918910239	0.973940376	0.989495871	0.989495871	0.994734467	0.994734467	0.994734467
NADH dehydrogenase (ubiquinone)(GO:0045279)	36	29	0.6374	0.318125878	0.8269	29	0.978368713	0.452011755	0.128562529	0.349722437	0.792429858	0.9323585	0.978368713	0.99129264	0.99129264	0.99563713	0.99563713	0.99563713
NADH dehydrogenase(GO:0003954)	30	25	0.5626	0.471610426	0.6041	25	0.981329875	0.486239807	0.208244712	0.404370153	0.818320941	0.941426277	0.981329875	0.992491392	0.992491392	0.996238905	0.996238905	0.996238905
NADPH metabolism(GO:0006739)	7	6	0.8083	0.329865519	0.8145	6	0.995493473	0.370601817	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
NADPH regeneration(GO:0006740)	7	6	0.8083	0.329865519	0.8145	6	0.995493473	0.370601817	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
negative control of cell proliferation(GO:0008285)	68	55	0.3477	0.480067053	0.5932	55	0.959294922	0.518918248	0.013437271	0.135804362	0.642680856	0.875384394	0.959294922	0.983518412	0.983518412	0.99172559	0.99172559	0.99172559
nerve ensheathment(GO:0008366)	8	6	0.6374	0.437469231	0.6565	6	0.995493473	0.519851428	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
nerve-nerve synaptic transmission(GO:0007270)	5	5	0.7624	0.421693227	0.6697	5	0.99624343	0.46609455	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
neuromuscular junction development(GO:0007528)	6	4	0.7624	0.510758909	0.5534	4	0.996993839	0.420480205	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
neuron differentiation(GO:0030182)	6	5	0.974	0.081115552	0.9958	5	0.99624343	0.233634447	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
neuropeptide hormone(GO:0005184)	8	7	0.0369	0.632886457	0.3962	7	0.994743967	0.659122203	0.088589064	0.022036531	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
neuropeptide receptor(GO:0008188)	5	4	0.7624	0.464579282	0.6204	4	0.996993839	0.43297456	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
neuropeptide signaling pathway(GO:0007218)	34	26	0.3477	0.304842414	0.8398	26	0.980588913	0.445226726	0.202624203	0.17232815	0.170287867	0.059141246	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
neurotransmitter binding(GO:0042165)	17	17	0.6989	0.338641716	0.8009	17	0.987273709	0.435258628	0.133797983	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
neurotransmitter catabolism(GO:0042135)	4	4	0.5626	0.523385718	0.5347	4	0.996993839	0.521074816	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
neurotransmitter maintenance(GO:0001505)	52	43	0.5933	0.301212438	0.8398	43	0.968060886	0.448125167	0.009613655	0.210243646	0.707985073	0.901261963	0.968060886	0.987102714	0.987102714	0.993530916	0.993530916	0.993530916
neurotransmitter metabolism(GO:0042133)	14	12	0.6675	0.404107142	0.6953	12	0.991003207	0.440040191	0.096888234	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
neurotransmitter receptor(GO:0030594)	17	17	0.6989	0.338641716	0.8009	17	0.987273709	0.435258628	0.133797983	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
neurotransmitter release(GO:0007269)	32	26	0.5015	0.301212438	0.8398	26	0.980588913	0.481463409	0.095350213	0.389958894	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
neurotransmitter synthesis and storage(GO:0001506)	10	8	0.7302	0.327251188	0.8145	8	0.993994913	0.399570718	0.211059741	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
neurotransmitter transport(GO:0006836)	20	19	0.6989	0.290348503	0.8541	19	0.985785058	0.41373122	0.101302699	0.502677912	0.858720929	0.955183089	0.985785058	0.994290877	0.994290877	0.997141568	0.997141568	0.997141568
neurotransmitter transporter(GO:0005326)	10	10	0.8767	0.317909101	0.8269	10	0.992498158	0.351077294	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
neurotransmitter:sodium symporter(GO:0005328)	10	10	0.8767	0.317909101	0.8269	10	0.992498158	0.351077294	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
neutral amino acid transporter(GO:0015175)	4	4	0.7776	0.120279232	0.9855	4	0.996993839	0.29956345	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
neutral lipid metabolism(GO:0006638)	10	9	0.8364	0.261429507	0.8857	9	0.99324631	0.408824613	0.173737232	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
NGF/TNF (6 C-domain) receptor(GO:0005027)	5	4	0.8364	0.408623704	0.6953	4	0.996993839	0.338476592	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
nickel binding(GO:0016151)	4	4	0.2311	1.044288203	0.131	4	0.996993839	0.690689448	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
nicotinamide metabolism(GO:0006769)	8	7	0.8364	0.220194347	0.9238	7	0.994743967	0.353549914	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
NIK-I-kappaB/NF-kappaB cascade(GO:0007249)	16	14	0.864	0.28384635	0.8645	14	0.989510058	0.297225991	0.19757089	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
nitric oxide biosynthesis(GO:0006809)	8	8	0.202	0.421693227	0.6697	8	0.993994913	0.489550384	0.116745444	0.220741534	0.06037395	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
nitrogen metabolism(GO:0006807)	29	26	0.3726	0.421693227	0.6697	26	0.980588913	0.504490374	0.143555907	0.37469273	0.170287867	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
N-linked glycosylation(GO:0006487)	19	15	0.4089	0.331697968	0.8009	15	0.988764159	0.50517692	0.243696767	0.321569956	0.886734772	0.964458754	0.988764159	0.995491439	0.995491439	0.997743343	0.997743343	0.997743343
NLS-bearing substrate-nucleus import(GO:0006607)	12	9	0.5626	0.163511314	0.9688	9	0.99324631	0.389625389	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
N-methyl-D-aspartate selective glutamate receptor(GO:0004972)	8	5	0.5626	0.38473049	0.7296	5	0.99624343	0.493044264	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
N-methyltransferase(GO:0008170)	12	11	0.4742	0.28415537	0.8645	11	0.991750457	0.48517727	0.298684462	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
non-covalent chromatin modification(GO:0016582)	22	18	0.2421	0.68432348	0.3447	18	0.986529159	0.647441377	0.054617287	0.521234456	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
non-G-protein coupled 7TM receptor(GO:0004926)	8	8	0.6237	0.270746092	0.8762	8	0.993994913	0.38157102	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
non-membrane spanning protein tyrosine kinase(GO:0004715)	6	6	0.0915	0.868605918	0.2158	6	0.995493473	0.583170205	0.215134072	0.177926571	0.045998039	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
non-membrane spanning protein tyrosine phosphatase(GO:0004726)	5	5	0.0787	1.010924121	0.1474	5	0.99624343	0.682565492	0.037307005	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
non-muscle myosin(GO:0005860)	11	9	0.6374	0.394554881	0.7111	9	0.99324631	0.441783	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
non-selective vesicle docking(GO:0006904)	7	6	0.2156	0.595132088	0.4436	6	0.995493473	0.62942328	0.215134072	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
non-selective vesicle exocytosis(GO:0016194)	10	9	0.202	0.556596183	0.4961	9	0.99324631	0.648588932	0.144230476	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
non-selective vesicle targeting(GO:0006903)	4	4	0.2964	0.556596183	0.4961	4	0.996993839	0.601497817	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
non-selective vesicle transport(GO:0006899)	65	52	0.6675	0.261726943	0.8857	52	0.961480436	0.393955211	0.08082316	0.29231911	0.658430204	0.881787669	0.961480436	0.984413876	0.984413876	0.992176922	0.992176922	0.992176922
N-terminal protein myristoylation(GO:0006499)	12	10	0.8996	0.266826818	0.8857	10	0.992498158	0.337607353	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
nu DNA polymerase(GO:0016451)	9	8	0.6374	0.308000473	0.8398	8	0.993994913	0.420018075	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
nuclear body(GO:0016604)	6	6	0.223	0.718534827	0.3192	6	0.995493473	0.544144958	0.215134072	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
nuclear chromosome(GO:0000228)	24	19	0.4197	0.388616615	0.7296	19	0.985785058	0.514253724	0.238554987	0.116624137	0.858720929	0.955183089	0.985785058	0.994290877	0.994290877	0.997141568	0.997141568	0.997141568
nuclear division(GO:0000280)	96	82	0.4453	0.416302584	0.6845	82	0.939803577	0.506811807	0.115906966	0.166679928	0.344713122	0.819684537	0.939803577	0.975477569	0.975477569	0.987663608	0.987663608	0.987663608
nuclear envelope-endoplasmic reticulum network(GO:0042175)	67	53	0.5177	0.468023207	0.6204	53	0.960751489	0.503319198	0.108378142	0.146074027	0.653138801	0.879648381	0.960751489	0.984115343	0.984115343	0.992026478	0.992026478	0.992026478
nuclear inner membrane(GO:0005637)	11	10	0.5626	0.570554579	0.4713	10	0.992498158	0.487735423	0.307272537	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
"nuclear inner membrane, integral protein(GO:0005639)"	6	6	0.7302	0.332808637	0.8009	6	0.995493473	0.410630929	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
nuclear lamina(GO:0005652)	4	4	0.4197	0.859995049	0.222	4	0.996993839	0.577826283	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
nuclear localization sequence binding(GO:0008139)	12	9	0.6675	0.32995835	0.8145	9	0.99324631	0.406949885	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
nuclear matrix(GO:0016363)	6	5	0.4197	0.610514959	0.4189	5	0.99624343	0.609936766	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
nuclear membrane(GO:0005635)	81	65	0.4453	0.410061563	0.6845	65	0.952038564	0.508596873	0.100471449	0.208947913	0.592806146	0.854353569	0.952038564	0.980536474	0.980536474	0.990221152	0.990221152	0.990221152
nuclear mitotic chromosome(GO:0000230)	5	4	0.1735	0.78230554	0.2615	4	0.996993839	0.578127352	0.39450791	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
nuclear organization and biogenesis(GO:0006997)	95	82	0.4453	0.461049438	0.6204	82	0.939803577	0.513673769	0.064985302	0.232769507	0.516593779	0.819684537	0.939803577	0.975477569	0.975477569	0.987663608	0.987663608	0.987663608
nuclear pore(GO:0005643)	48	38	0.4453	0.399887838	0.7111	38	0.971732229	0.50189136	0.141576559	0.241963209	0.737078004	0.912254509	0.971732229	0.988598098	0.988598098	0.994283135	0.994283135	0.994283135
nuclear RNA-nucleus export(GO:0006405)	15	12	0.4314	0.476778384	0.6041	12	0.991003207	0.482441598	0.2499014	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
nuclear ubiquitin ligase complex(GO:0000152)	14	12	0.6237	0.451549158	0.6329	12	0.991003207	0.487000754	0.211005539	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
nuclease(GO:0004518)	53	46	0.5015	0.446663218	0.6454	46	0.965863412	0.524344138	0.146993921	0.188496607	0.691073292	0.894726172	0.965863412	0.986206028	0.986206028	0.993079585	0.993079585	0.993079585
nucleobase metabolism(GO:0009112)	10	8	0.6829	0.277571758	0.8762	8	0.993994913	0.364776322	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
nucleobase transporter(GO:0015205)	7	6	0.4453	0.240090528	0.9065	6	0.995493473	0.38202078	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
"nucleobase, nucleoside, nucleotide and nucleic acid transport(GO:0015931)"	13	9	0.5626	0.314459785	0.8269	9	0.99324631	0.443055137	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"nucleobase, nucleoside, nucleotide and nucleic acid transporter(GO:0015932)"	12	10	0.5771	0.314459785	0.8269	10	0.992498158	0.404233841	0.307272537	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
"nucleobase, nucleoside, nucleotide kinase(GO:0019205)"	39	31	0.3594	0.472880082	0.6041	31	0.976890814	0.543530834	0.173908869	0.372877429	0.779787441	0.927855379	0.976890814	0.990693536	0.990693536	0.995336242	0.995336242	0.995336242
nucleocapsid(GO:0019013)	62	52	0.3951	0.428806884	0.6697	52	0.961480436	0.50478801	0.080073364	0.27538473	0.658430204	0.881787669	0.961480436	0.984413876	0.984413876	0.992176922	0.992176922	0.992176922
nucleocytoplasmic transport(GO:0006913)	57	45	0.3951	0.410061563	0.6845	45	0.966595459	0.499878825	0.154371505	0.326063428	0.696666037	0.896899816	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
nucleocytoplasmic transporter(GO:0005487)	5	4	0.0976	0.957292211	0.1676	4	0.996993839	0.795536655	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
nucleolus(GO:0005730)	101	89	0.5933	0.381941438	0.7296	89	0.934802353	0.469982627	0.049424662	0.130191586	0.488085031	0.805796109	0.934802353	0.973398293	0.973398293	0.986610501	0.986610501	0.986610501
nucleoside catabolism(GO:0009164)	5	4	0.4089	0.493725029	0.5805	4	0.996993839	0.566649104	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
